,station,net_traffic,pct_total,borough,gtfs_longitude,gtfs_latitude,geometry
307,138_grand_conc,51098.0,0.0007660573708577612,Bx,-73.929849,40.813224,POINT (-73.929849 40.813224)
308,ocean_pkwy,49546.0,0.0007427899036462999,Bk,-73.968501,40.576312,POINT (-73.968501 40.576312)
309,intervale_av,49456.0,0.0007414406304188312,Bx,-73.896736,40.822181,POINT (-73.896736 40.822181)
310,alabama_av,49405.0,0.0007406760422565989,Bk,-73.898654,40.676992,POINT (-73.898654 40.676992)
311,briarwood,49042.0,0.0007352339735724749,Q,-73.820574,40.709179,POINT (-73.820574 40.709179)
312,buhre_av,48929.0,0.0007335398860757642,Bx,-73.832569,40.84681,POINT (-73.832569 40.84681)
313,pennsylvania_av,48673.0,0.000729701953339853,Bk,-73.894895,40.664635,POINT (-73.894895 40.664635)
314,hewes_st,48318.0,0.0007243798200537262,Bk,-73.953431,40.70687,POINT (-73.953431 40.70687)
315,longwood_av,48004.0,0.0007196723556823352,Bx,-73.896435,40.816104,POINT (-73.896435 40.816104)
316,chauncey_st,47610.0,0.000713765537330972,Bk,-73.910456,40.682893,POINT (-73.910456 40.682893)
317,path_wtc_2,47207.0,0.000707723791656862,,,,POINT EMPTY
318,190_st,46397.0,0.0006955803326096432,M,-73.93418,40.859022,POINT (-73.93418 40.859022)
319,rit_manhattan,46359.0,0.0006950106394691564,,,,POINT EMPTY
320,harlem_148_st,46186.0,0.0006924170364874664,M,-73.93647,40.82388,POINT (-73.93647 40.82388)
321,botanic_garden,45261.0,0.0006785495060940375,Bk,-73.959245,40.670343,POINT (-73.959245 40.670343)
322,233_st,44794.0,0.0006715482772359496,Bx,-73.857473,40.893193,POINT (-73.857473 40.893193)
323,39_av,44436.0,0.0006661811681755739,Q,-73.932755,40.752882,POINT (-73.932755 40.752882)
324,marble_hill_225,43408.0,0.0006507694695329308,M,-73.909831,40.874561,POINT (-73.909831 40.874561)
325,beach_25_st,42899.0,0.0006431385798353575,Q,-73.761353,40.600066,POINT (-73.761353 40.600066)
326,bushwick_av,42107.0,0.0006312649754336324,Bk,-73.905249,40.682829,POINT (-73.905249 40.682829)
327,121_st,41775.0,0.0006262876564167477,Q,-73.828294,40.700492,POINT (-73.828294 40.700492)
328,smith_9_st,41149.0,0.000616902711523465,Bk,-73.995959,40.67358,POINT (-73.995959 40.67358)
329,65_st,41010.0,0.0006148188339832632,Q,-73.898453,40.749669,POINT (-73.898453 40.749669)
330,junius_st,40827.0,0.0006120753117540768,Bk,-73.902447,40.663515,POINT (-73.902447 40.663515)
331,franklin_st,40770.0,0.0006112207720433466,M,-74.006886,40.719318,POINT (-74.006886 40.719318)
332,liberty_av,40235.0,0.0006032000923022823,Bk,-73.896548,40.674542,POINT (-73.896548 40.674542)
333,beach_67_st,39800.0,0.0005966786050361833,Q,-73.796924,40.590927,POINT (-73.796924 40.590927)
334,88_st,39477.0,0.0005918362133420454,Q,-73.85147,40.679843,POINT (-73.85147 40.679843)
335,beach_60_st,39428.0,0.0005911016090293125,Q,-73.788522,40.592374,POINT (-73.788522 40.592374)
336,jackson_av,39300.0,0.0005891826426613569,Bx,-73.907807,40.81649,POINT (-73.907807 40.81649)
337,mets_willets_pt,38491.0,0.0005770541755388877,Q,-73.845625,40.754622,POINT (-73.845625 40.754622)
338,cypress_av,37811.0,0.0005668596667091239,Bx,-73.914042,40.805368,POINT (-73.914042 40.805368)
339,w_8_st_aquarium,35918.0,0.0005384799531580309,Bk,-73.975939,40.576127,POINT (-73.975939 40.576127)
